guenter-20171006-rec_de5-001;guenter-20171006-rec;de5-001;test test;test test;2
guenter-20171006-rec_de5-002;guenter-20171006-rec;de5-002;;;2
guenter-20171006-rec_de5-003;guenter-20171006-rec;de5-003;ok computer;ok computer;2
guenter-20171006-rec_de5-004;guenter-20171006-rec;de5-004;had to think of a friend;had to think of a friend;2
guenter-20171006-rec_de5-005;guenter-20171006-rec;de5-005;;;1
guenter-20171006-rec_de5-006;guenter-20171006-rec;de5-006;nspc;nspc;2
guenter-20171006-rec_de5-007;guenter-20171006-rec;de5-007;ok computer;ok computer;2
guenter-20171006-rec_de5-008;guenter-20171006-rec;de5-008;ciao;ciao;2
guenter-20171006-rec_de5-009;guenter-20171006-rec;de5-009;computer good day;computer good day;2
guenter-20171006-rec_de5-010;guenter-20171006-rec;de5-010;well the idea to talk to you originated from a friend;well the idea to talk to you originated from a friend;2
guenter-20171006-rec_de5-011;guenter-20171006-rec;de5-011;computer ich am worried about my truck;computer ich am worried about my truck;2
guenter-20171006-rec_de5-012;guenter-20171006-rec;de5-012;hal i have been dreaming of you;hal i have been dreaming of you;2
guenter-20171006-rec_de5-013;guenter-20171006-rec;de5-013;nspc;nspc;2
guenter-20171006-rec_de5-014;guenter-20171006-rec;de5-014;nspc;nspc;2
guenter-20171006-rec_de5-015;guenter-20171006-rec;de5-015;nspc;nspc;2
guenter-20171006-rec_de5-016;guenter-20171006-rec;de5-016;nspc;nspc;2
guenter-20171006-rec_de5-017;guenter-20171006-rec;de5-017;test test;test test;2
guenter-20171006-rec_de5-018;guenter-20171006-rec;de5-018;nspc;nspc;2
guenter-20171006-rec_de5-019;guenter-20171006-rec;de5-019;i could envision;i could envision;2
guenter-20171006-rec_de5-020;guenter-20171006-rec;de5-020;computer he stated that i am too often down;computer he stated that i am too often down;2
guenter-20171006-rec_de5-021;guenter-20171006-rec;de5-021;ok hal;ok hal;2
guenter-20171006-rec_de5-022;guenter-20171006-rec;de5-022;hal he said that i am sometimes depressed;hal he said that i am sometimes depressed;2
