4h-20100505-vgm_fr-sb-758;4h-20100505-vgm;fr-sb-758;que celui qui ne connaît pas votre vie fasse le dégoûté;;0
4h-20100505-vgm_fr-sb-759;4h-20100505-vgm;fr-sb-759;il m'a conduit ensuite à l'établissement des chanteuses;;0
4h-20100505-vgm_fr-sb-760;4h-20100505-vgm;fr-sb-760;il ouvrit le cercle de soldats en demandant s'il pouvait visiter la station;;0
4h-20100505-vgm_fr-sb-761;4h-20100505-vgm;fr-sb-761;la situation avait rarement été aussi tendue entre eux;;0
4h-20100505-vgm_fr-sb-762;4h-20100505-vgm;fr-sb-762;le frisson était venu de l'extérieur sans qu'il puisse mieux se le représenter;;0
4h-20100505-vgm_fr-sb-763;4h-20100505-vgm;fr-sb-763;j'y rencontrai heureusement l'aumônier qui me donna l'absolution;;0
4h-20100505-vgm_fr-sb-764;4h-20100505-vgm;fr-sb-764;mais je suis fier du travail que nous avons accompli ensemble;;0
4h-20100505-vgm_fr-sb-765;4h-20100505-vgm;fr-sb-765;le couchant devint crépuscule avant que rien d'autre ne se fût produit;;0
4h-20100505-vgm_fr-sb-766;4h-20100505-vgm;fr-sb-766;la conséquence de cette mauvaise disposition est facile à prévoir;;0
4h-20100505-vgm_fr-sb-767;4h-20100505-vgm;fr-sb-767;tous je l'atteste ne sont aussi mariés qu'une fois;;0
Agoniste-20130928-bfg_fr-sb-495;Agoniste-20130928-bfg;fr-sb-495;il était à soixante millions de kilomètres dans l'espace;;0
Agoniste-20130928-bfg_fr-sb-496;Agoniste-20130928-bfg;fr-sb-496;le monde était dans une sécurité et une tranquillité parfaites;;0
Agoniste-20130928-bfg_fr-sb-497;Agoniste-20130928-bfg;fr-sb-497;il vérifia sa perfusion elle n'injectait plus rien;;0
Agoniste-20130928-bfg_fr-sb-498;Agoniste-20130928-bfg;fr-sb-498;une image floue et mouvante se formait et se déformait dans son esprit;;0
Agoniste-20130928-bfg_fr-sb-499;Agoniste-20130928-bfg;fr-sb-499;son esprit s'engourdissait éprouvait des difficultés à dissimuler la colère;;0
Agoniste-20130928-bfg_fr-sb-500;Agoniste-20130928-bfg;fr-sb-500;elles ont déterminé un mouvement d'équité sociale qui ne s'arrêtera pas;;0
Agoniste-20130928-bfg_fr-sb-501;Agoniste-20130928-bfg;fr-sb-501;il se retourna et reconnut ce faisant que le poids était une simple main posée;;0
Agoniste-20130928-bfg_fr-sb-502;Agoniste-20130928-bfg;fr-sb-502;vous contemplerez de nouveaux signes dans le ciel et de nouveaux fruits sur la terre;;0
Agoniste-20130928-bfg_fr-sb-503;Agoniste-20130928-bfg;fr-sb-503;les yeux dans les yeux les clients les interrogent sur le temps;;0
Agoniste-20130928-bfg_fr-sb-504;Agoniste-20130928-bfg;fr-sb-504;il avança d'un pas et la pression s'accentua un court instant;;0
Agoniste-20130928-fnn_fr-sb-143;Agoniste-20130928-fnn;fr-sb-143;je la crierai cette vérité de toute la force de ma révolte d'honnête homme »;;0
Agoniste-20130928-fnn_fr-sb-144;Agoniste-20130928-fnn;fr-sb-144;il est un généralissime des contrebandiers de l'opium;;0
Agoniste-20130928-fnn_fr-sb-145;Agoniste-20130928-fnn;fr-sb-145;la résistance n'échappait à l'éparpillement qu'en gravitant autour du non du 18 juin;;0
Agoniste-20130928-fnn_fr-sb-146;Agoniste-20130928-fnn;fr-sb-146;sur cent de ces bars soixante-quinze sont des repaires;;0
Agoniste-20130928-fnn_fr-sb-147;Agoniste-20130928-fnn;fr-sb-147;ces gens parlent des langues différentes et n'ont pas beaucoup de religion;;0
Agoniste-20130928-fnn_fr-sb-148;Agoniste-20130928-fnn;fr-sb-148;ces changements font toujours l'objet d'une mention en marge de l'acte de naissance;;0
Agoniste-20130928-fnn_fr-sb-149;Agoniste-20130928-fnn;fr-sb-149;j'ai amené un chimiste un jours jusqu'ici un chimiste des plus savant;;0
Agoniste-20130928-fnn_fr-sb-150;Agoniste-20130928-fnn;fr-sb-150;sagement les émigrants suivent les péripéties de l'écran;;0
Agoniste-20130928-fnn_fr-sb-151;Agoniste-20130928-fnn;fr-sb-151;sur la station d'andrea les journées étaient longues et tranquilles;;0
Agoniste-20130928-fnn_fr-sb-152;Agoniste-20130928-fnn;fr-sb-152;pour le même voyage les uns dépensent une fortune les autres gagnent quelques francs;;0
Agoniste-20130928-gaf_fr-sb-821;Agoniste-20130928-gaf;fr-sb-821;ils doivent respecter les principes de la souveraineté nationale et de la démocratie;;0
Agoniste-20130928-gaf_fr-sb-822;Agoniste-20130928-gaf;fr-sb-822;ce sont des nomades français arabes syriens espagnols belges italiens;;0
Agoniste-20130928-gaf_fr-sb-823;Agoniste-20130928-gaf;fr-sb-823;on s'appuiera sur ces tendances quand elles existent pour introduire plus de régularité;;0
Agoniste-20130928-gaf_fr-sb-824;Agoniste-20130928-gaf;fr-sb-824;nous ne devons pas craindre les évolutions du monde;;0
Agoniste-20130928-gaf_fr-sb-825;Agoniste-20130928-gaf;fr-sb-825;cette france qui croyez-moi n'a pas fini d'étonner le monde;;0
Agoniste-20130928-gaf_fr-sb-826;Agoniste-20130928-gaf;fr-sb-826;les travaux antérieurs de pierre ne sont pas étrangers à ce choix;;0
Agoniste-20130928-gaf_fr-sb-827;Agoniste-20130928-gaf;fr-sb-827;nos compatriotes calmés ne cherchent pas des bateaux sur un rivage mais des casinos;;0
Agoniste-20130928-gaf_fr-sb-828;Agoniste-20130928-gaf;fr-sb-828;la déclaration de guerre est autorisée par le parlement;;0
Agoniste-20130928-gaf_fr-sb-829;Agoniste-20130928-gaf;fr-sb-829;si j'avais été un citoyen courageux je vous aurais parlé de marseille marseillais;;0
Agoniste-20130928-gaf_fr-sb-830;Agoniste-20130928-gaf;fr-sb-830;et elias marchait dans une direction bien précise;;0
Agoniste-20130928-izd_fr-sb-186;Agoniste-20130928-izd;fr-sb-186;la france doit affirmer l'exigence d'une europe puissance;;0
Agoniste-20130928-izd_fr-sb-187;Agoniste-20130928-izd;fr-sb-187;fier d'avoir combattu sans relâche l'insécurité et fait reculer la délinquance;;0
Agoniste-20130928-izd_fr-sb-188;Agoniste-20130928-izd;fr-sb-188;dans un télescope elle semble encore plus profonde;;0
Agoniste-20130928-izd_fr-sb-189;Agoniste-20130928-izd;fr-sb-189;il tourna lentement sa tête en direction d'elias et sourit;;0
Agoniste-20130928-izd_fr-sb-190;Agoniste-20130928-izd;fr-sb-190;en face des cris allemands poussés par leurs camarades de l'ouest;;0
